87   ;LP 194-45                          ;PM*;01 16 44.6907416784 +44 40 15.968020800;     ~   ;13.12    ;11.25    ;     ~   ;     ~   ;~                     ;  13;   0,
88   ;LP 194-47                          ;PM*;01 18 40.9311982800 +45 28 34.919018724;     ~   ;16.9     ;     ~   ;14.8     ;     ~   ;~                     ;   9;   0,
89   ;V* CH And                          ;RR*;01 36 10.5698372064 +44 52 29.616438072;     ~   ;     ~   ;15.35    ;     ~   ;     ~   ;~                     ;   8;   0,
90   ;HD 8671                            ;PM*;01 26 18.6862929120 +43 27 27.869935680;     ~   ;6.464    ;5.978    ;     ~   ;     ~   ;F7V                   ;  77;   0,
91   ;* ome And                          ;** ;01 27 39.3807155195 +45 24 24.065127426;5.25     ;5.25     ;4.83     ;4.42     ;4.19     ;F4IV                  ; 144;   0,
92   ;LP 194-53                          ;PM*;01 23 17.5280866562 +43 22 13.677671851;     ~   ;17.7     ;     ~   ;15.3     ;     ~   ;~                     ;   7;   0,
93   ;LP 195-25                          ;PM*;01 38 33.7794920760 +44 35 25.581917652;     ~   ;11.88    ;     ~   ;10.319   ;     ~   ;K4V                   ;  24;   0,
94   ;HD 10307                           ;SB*;01 41 47.1268541099 +42 36 48.221567818;5.69     ;5.58     ;4.96     ;4.43     ;4.10     ;G1V                   ; 498;   0,
95   ;BD+43 395                          ;PM*;01 56 38.2813543008 +43 54 45.932596704;     ~   ;10.51    ;     ~   ;9.1      ;     ~   ;K2V                   ;  27;   0,
96   ;G 133-55                           ;PM*;01 56 49.9195854624 +41 42 30.147941448;     ~   ;15.15    ;     ~   ;13.666   ;     ~   ;M4.0                  ;  17;   0,
97   ;HD 11926                           ;*  ;01 58 04.5788693136 +41 23 09.758168412;     ~   ;8.22     ;7.57     ;     ~   ;     ~   ;G5                    ;  35;   0,
98   ;HD 13371                           ;PM*;02 11 49.2895698672 +40 42 47.756209248;     ~   ;     ~   ;     ~   ;8.5      ;     ~   ;K0                    ;   5;   0,
99   ;V* V450 And                        ;BY*;02 12 54.9880706976 +40 40 06.200020272;     ~   ;7.880    ;7.21     ;7.71     ;     ~   ;G5V                   ; 102;   1,
100  ;HD 13531                           ;BY*;02 13 13.3350408936 +40 30 27.317912976;     ~   ;8.06     ;7.36     ;     ~   ;     ~   ;G7V                   ;  80;   0,
101  ;G 74-9                             ;PM*;02 14 16.2375914635 +41 51 20.344939824;     ~   ;14.6     ;     ~   ;13.7     ;     ~   ;~                     ;   7;   0,
102  ;HD 14622                           ;PM*;02 22 50.3034199104 +41 23 46.657521456;     ~   ;6.063    ;5.795    ;     ~   ;     ~   ;F0III-IV              ;  53;   0,
103  ;V* LV And                          ;RR*;02 19 26.4000706968 +41 45 56.655345456;     ~   ;14.8     ;15.43    ;     ~   ;     ~   ;~                     ;  11;   0,
104  ;V* DU And                          ;RR*;02 30 31.3653845136 +40 50 33.470248956;     ~   ;12.50    ;13.77    ;     ~   ;     ~   ;kA1.5hF6              ;  18;   0,
105  ;G 134-35                           ;** ;02 30 44.46648 +40 28 52.7196          ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;M1.0                  ;   5;   0,
106  ;V* MV And                          ;RR*;02 30 11.2168699104 +40 53 01.549786128;     ~   ;     ~   ;15.81    ;     ~   ;     ~   ;~                     ;  11;   0,
107  ;BD+39 539                          ;PM*;02 24 40.8326494296 +40 08 23.078652252;     ~   ;     ~   ;     ~   ;9.2      ;     ~   ;K2                    ;  21;   0,
108  ;UGC 2034                           ;GiG;02 33 42.96 +40 31 41.2                ;     ~   ;15.0     ;     ~   ;13.45    ;     ~   ;~                     ;  69;   0,
109  ;V* MP And                          ;RR*;02 24 13.7228025840 +41 19 46.688199456;     ~   ;15.4     ;16.03    ;     ~   ;     ~   ;~                     ;  11;   0,
110  ;GD 25                              ;WD*;02 16 16.3515691488 +39 51 25.411561956;     ~   ;14.77    ;     ~   ;14.6     ;     ~   ;DA5.4                 ;  58;   0,
111  ;LP 196-58                          ;PM*;02 24 16.8314733456 +40 07 37.276876524;     ~   ;15.0     ;     ~   ;14.1     ;     ~   ;~                     ;   5;   0,
112  ;BD+39 539B                         ;WD*;02 24 42.1928968416 +40 07 45.234042132;     ~   ;16.2     ;     ~   ;16.7     ;     ~   ;DA8.1                 ;  17;   0,
113  ;BD+38 536                          ;** ;02 40 58.6366323236 +39 04 47.606216419;10.440   ;9.960    ;9.120    ;     ~   ;     ~   ;K2                    ;  27;   0,
114  ;HD 16760                           ;** ;02 42 21.3134499936 +38 37 07.231908072;     ~   ;9.45     ;8.76     ;     ~   ;     ~   ;G2V                   ;  85;   1,
115  ;HD 16760B                          ;PM*;02 42 20.9504185128 +38 37 21.159114852;     ~   ;11.25    ;10.27    ;     ~   ;     ~   ;K2V                   ;  46;   1,
116  ;IC 239                             ;GiG;02 36 27.8262034392 +38 58 09.083372052;     ~   ;12.1     ;     ~   ;12.75    ;     ~   ;~                     ; 106;   0,
117  ;UGC 2157                           ;GiG;02 40 25.123 +38 33 48.02              ;     ~   ;14.9     ;     ~   ;13.99    ;     ~   ;~                     ;  25;   0,
118  ;UGC 2014                           ;AG?;02 32 54.00 +38 40 50.1                ;     ~   ;17       ;     ~   ;14.50    ;     ~   ;~                     ;  48;   0,
119  ;2MASXI J0240377+390326             ;GiG;02 40 37.7 +39 03 29                   ;     ~   ;     ~   ;     ~   ;14.52    ;     ~   ;~                     ;  44;   1,
120  ;NGC 1023                           ;AG?;02 40 24.0133575864 +39 03 47.663392896;10.91    ;10.35    ;9.35     ;7.83     ;     ~   ;~                     ; 653;   2,
121  ;* 16 Per                           ;dS*;02 50 35.0596652199 +38 19 07.114405802;     ~   ;4.57     ;     ~   ;4.0      ;     ~   ;F2III                 ; 123;   0,
122  ;UGC 2259                           ;GiP;02 47 55.4194406880 +37 32 18.528735876;     ~   ;14.3     ;     ~   ;12.8     ;     ~   ;~                     ; 126;   0,
123  ;NGC 1058                           ;Sy2;02 43 30.0264850248 +37 20 28.782851784;     ~   ;12.29    ;11.75    ;10.85    ;     ~   ;~                     ; 461;   0,
124  ;V* V370 Per                        ;RR*;02 54 24.8207604552 +36 39 59.823939960;     ~   ;     ~   ;16.52    ;     ~   ;     ~   ;~                     ;   6;   0,
125  ;Ross 331                           ;PM*;02 59 10.6595087259 +36 36 39.908371683;     ~   ;14.62    ;13.07    ;12.66    ;     ~   ;M3.66                 ;  31;   0,
126  ;HD 19308                           ;PM*;03 07 39.4035720525 +36 37 03.437647538;     ~   ;     ~   ;     ~   ;6.9      ;     ~   ;G0                    ;  83;   0,
127  ;HD 18900                           ;PM*;03 03 35.6446242240 +36 26 31.219261512;     ~   ;8.277    ;7.685    ;     ~   ;     ~   ;F8                    ;  28;   0,
128  ;UGC 2526                           ;GiG;03 05 43.3485597816 +36 47 10.359553848;     ~   ;13.5     ;     ~   ;     ~   ;     ~   ;~                     ;  44;   0,
129  ;UGC 2550                           ;AG?;03 08 15.709 +36 26 58.78              ;     ~   ;15.1     ;     ~   ;     ~   ;     ~   ;~                     ;  18;   0,
130  ;BD+34 548                          ;PM*;02 58 42.2501757072 +35 33 37.589812632;     ~   ;     ~   ;     ~   ;8.8      ;     ~   ;K2                    ;  20;   0,
131  ;HD 18493                           ;PM*;02 59 34.3271811600 +35 19 34.482039708;     ~   ;     ~   ;     ~   ;7.7      ;     ~   ;K0                    ;   9;   0,
132  ;LP 246-43                          ;PM*;03 01 48.3195005232 +37 33 20.172361212;     ~   ;17.3     ;     ~   ;14.8     ;     ~   ;M4.5Ve                ;  14;   0,
133  ;LP 246-45                          ;PM*;03 02 38.7251375712 +36 51 05.896255176;     ~   ;19.4     ;     ~   ;16.8     ;     ~   ;~                     ;   6;   0,
134  ;LP 246-46                          ;PM*;03 02 54.9580380816 +36 05 04.066951344;     ~   ;17.4     ;     ~   ;14.8     ;     ~   ;M3                    ;   6;   0,
135  ;BD+37 4089                         ;PM*;20 53 15.4794683352 +37 41 28.291684272;     ~   ;10.17    ;9.28     ;     ~   ;     ~   ;K0                    ;   3;   0,
136  ;EGGR 261                           ;WD*;20 49 06.6996392736 +37 28 14.050387020;     ~   ;13.40    ;     ~   ;13.2     ;     ~   ;DA3.4                 ;  73;   0,
137  ;HD 200077                          ;SB*;20 59 55.2757447771 +40 15 31.757352772;     ~   ;7.136    ;6.593    ;7.32     ;     ~   ;F8                    ;  73;   0,
138  ;V* VX Cyg                          ;cC*;20 57 20.8299053760 +40 10 39.010237860;     ~   ;11.6     ;10.08    ;     ~   ;8.187    ;F5e-G2I-II            ; 132;   1,
139  ;G 210-40                           ;PM*;20 56 03.3884326854 +38 50 56.374740641;     ~   ;     ~   ;     ~   ;10.7     ;     ~   ;M1                    ;  14;   0,
140  ;G 210-44                           ;** ;20 58 11.4634642105 +40 11 28.994886285;     ~   ;     ~   ;     ~   ;10.3     ;     ~   ;K7Ve                  ;  32;   0,
141  ;V* VY Cyg                          ;cC*;21 04 16.6363625496 +39 58 20.106736608;11.74    ;10.66    ;9.56     ;     ~   ;8.090    ;F5.5-G0.5Ib           ; 138;   0,
142  ;BD+40 883                          ;SB*;21 00 05.3871460816 +40 04 12.650850610;     ~   ;11.59    ;9.97     ;9.63     ;7.96     ;M2.0V+M0.5V           ; 178;   0,
143  ;LP 234-1390                        ;PM*;20 56 34.0902518640 +39 29 46.114382436;     ~   ;19.4     ;     ~   ;16.2     ;     ~   ;M5.6                  ;   7;   0,
144  ;HD 203454                          ;SB*;21 21 01.4163211656 +40 20 41.907079752;     ~   ;6.93     ;     ~   ;6.1      ;     ~   ;F8V                   ; 155;   0,
145  ;HD 200325                          ;** ;21 01 26.0999934960 +40 37 04.791148464;     ~   ;7.63     ;7.16     ;     ~   ;     ~   ;F5                    ;  39;   0,
146  ;G 212-16                           ;PM*;21 01 33.0867955744 +40 46 20.903281114;     ~   ;16.2     ;     ~   ;14.431   ;     ~   ;M4                    ;  14;   0,
147  ;Cl Berkeley 54                     ;OpC;21 02 58.8 +40 25 59                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~                     ;  33;   0,
148  ;Cl Berkeley 56                     ;OpC;21 17 42.0 +41 54 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~                     ;  21;   0,
149  ;V* V2069 Cyg                       ;CV*;21 23 44.8214570688 +42 18 01.634864328;     ~   ;16.603   ;16.031   ;     ~   ;     ~   ;~                     ;  49;   0,
150  ;V* V386 Cyg                        ;cC*;21 14 40.4340798432 +41 42 58.846926780;     ~   ;11.12    ;9.75     ;     ~   ;7.750    ;F5.5-G0Ib             ; 127;   1,
151  ;LP 234-2142                        ;PM*;21 17 07.2051848883 +41 43 01.592628170;     ~   ;18.0     ;     ~   ;16.0     ;     ~   ;~                     ;   7;   0,
152  ;G 212-50                           ;PM*;21 37 58.8975727632 +42 01 04.720246068;     ~   ;13.58    ;     ~   ;11.946   ;     ~   ;M1.5                  ;  14;   0,
153  ;LEDA 90392                         ;AG?;21 33 34.607 +42 43 26.68              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~                     ;  20;   0,
154  ;UGC 11767                          ;AG?;21 33 47.4392799312 +41 50 03.661918512;     ~   ;17       ;     ~   ;     ~   ;     ~   ;~                     ;  14;   0,
