star_name,star_alternate_names
K2-197,"2MASS J13293447-0722262, EPIC 212735333, WISE J132934.44-072226.3"
K2-198,"EPIC 212768333, 2MASS J13152252-0627535, TYC 4964-1269-1, WISE J131522.49-062753.9"
K2-199,"2MASS J13553641-0608100, EPIC 212779596, WISE J135536.36-060809.9"
K2-19,"EPIC 201505350, 2MASS J11395048+0036129, WISE J113950.46+003612.9"
K2-200,"2MASS J13290038-0436367, EPIC 212828909, WISE J132900.32-043636.3"
K2-201,"2MASS J19341458-2307518, EPIC 216008129, TYC 6889-1358-1, WISE J193414.56-230752.3"
K2-202,"2MASS J18530342-2224252, EPIC 216405287, WISE J185303.43-222425.3"
K2-203,"2MASS J00510570-0111452, EPIC 220170303, WISE J005105.68-011145.1"
K2-204,"2MASS J01093180-0031031, EPIC 220186645, WISE J010931.80-003103.7"
K2-205,"2MASS J01005219+0025334, EPIC 220211923, WISE J010052.21+002533.4"
K2-206,"2MASS J00450151+0035357, EPIC 220216730, WISE J004501.53+003535.6"
K2-207,"2MASS J00464793+0038268, EPIC 220218012, WISE J004647.91+003826.3"
K2-208,"2MASS J01230698+0053210, EPIC 220225178, WISE J012306.96+005320.5"
K2-209,"2MASS J00584575+0123014, EPIC 220241529, TYC 12-531-1, WISE J005845.70+012259.1"
K2-210,"2MASS J01103382+0134416, EPIC 220250254, TYC 20-536-1, WISE J011033.88+013442.1"
K2-211,"2MASS J01242543+0142176, EPIC 220256496, WISE J012425.46+014217.6"
K2-212,"2MASS J01134161+0305490, EPIC 220321605, WISE J011341.73+030549.2"
K2-213,"2MASS J00523368+0330277, EPIC 220341183, TYC 15-1059-1, WISE J005233.68+033027.9"
K2-214,"2MASS J00593025+0413402, EPIC 220376054, TYC 15-882-1, WISE J005930.24+041340.0"
K2-215,"2MASS J01135281+0607261, EPIC 220471666, WISE J011352.81+060725.9"
K2-216,"2MASS J00455526+0620490, EPIC 220481411, WISE J004555.25+062049.2"
K2-217,"2MASS J00451161+0628536, EPIC 220487418, WISE J004511.60+062853.6"
K2-218,"2MASS J00511431+0650473, EPIC 220503236, WISE J005114.31+065047.1"
K2-219,"2MASS J00512286+0852034, EPIC 220592745, TYC 605-518-1, WISE J005122.86+085203.1"
K2-21,"2MASS 22411288-1429202, 2MASS J22411288-1429202, EPIC 206011691, WISE J224112.90-142921.1"
K2-220,"2MASS J00510476+0931003, EPIC 220621788, WISE J005104.78+093100.3"
K2-221,"2MASS J01063719+1011231, EPIC 220650439, WISE J010637.20+101123.0"
K2-222,"2MASS J01055095+1145123, EPIC 220709978, TYC 615-587-1, WISE J010550.98+114513.0"
K2-223,"2MASS J12211347-1016552, EPIC 228721452, WISE J122113.48-101655.4"
K2-224,"2MASS J12384898-1003384, EPIC 228725972, WISE J123848.98-100338.2"
K2-225,"2MASS J12260991-0937292, EPIC 228734900, TYC 5527-378-1, WISE J122609.87-093729.3"
K2-226,"2MASS J12143498-0933454, EPIC 228736155, WISE J121434.96-093345.4"
